X,Y,BoxID,Thickness (m),Speed (m/yr),Width (m),Speed/Width,SpeedxWidth,SpeedxWidthxThickness
440820,-795940,596,97.034,82.7103881835938,9682.15475498331,0.00854256002683943,800814.778238298,1926172.75368164
441060,-795940,596,88.813,82.7103881835938,9682.15475498331,0.00854256002683943,800814.778238298,1762981.84937988
441060,-796180,596,103.87,83.3824844360352,9682.15475498331,0.00861197600597315,807322.11816468,2078625.27800903
441300,-796180,596,105.6,81.960823059082,9682.15475498331,0.00846514284611053,793557.372703837,2077215.09960938
441300,-796420,596,105.22,83.4502410888672,9682.15475498331,0.00861897410242448,807978.148563079,2107352.24816895
441540,-796420,596,104.12,88.4132690429688,9682.15475498331,0.00913156949876919,856030.953267999,2209341.49746094
441540,-796660,596,108.97,85.5019454956055,9682.15475498331,0.00883087986706662,827843.068140601,2236115.28015747
441780,-796660,596,104.32,70.3715209960938,9682.15475498331,0.00726816734259223,681347.956627737,1761877.696875
441780,-796900,596,104.97,78.370964050293,9682.15475498331,0.00809437217577587,758799.80223217,1974384.02312622
442020,-796900,596,107.11,73.135498046875,9682.15475498331,0.00755363861636614,708109.210172624,1880050.36699219
442020,-797140,596,114.77,70.9330978393555,9682.15475498331,0.00732616856829797,686785.230531012,1953837.99336548
442260,-797140,596,118.79,77.2182540893555,9682.15475498331,0.00797531706974751,747639.086002763,2201461.53678589
442500,-797140,596,118.91,80.9397506713867,9682.15475498331,0.00835968363650951,783671.191830131,2309890.9805603
442500,-797380,596,131.33,85.9912261962891,9682.15475498331,0.0088814141451344,832580.359603246,2710374.65672607
442740,-797380,596,137.81,85.9912261962891,9682.15475498331,0.0088814141451344,832580.359603246,2844108.21170654
442740,-797620,596,136.89,78.6011810302734,9682.15475498331,0.00811814962881255,761028.798659566,2582331.76109619
442980,-797620,596,137.35,83.0996704101562,9682.15475498331,0.00858276618305297,804583.868999241,2739297.53540039
442980,-797860,596,137.07,83.0996704101562,9682.15475498331,0.00858276618305297,804583.868999241,2733713.23754883
443220,-797860,596,138.63,85.3012466430664,9682.15475498331,0.00881015112872087,825899.87079117,2838074.83731079
443460,-797860,596,139.67,81.585693359375,9682.15475498331,0.00842639840242004,789925.308898083,2734817.70996094
443460,-798100,596,141.76,83.453483581543,9682.15475498331,0.00861930899612922,808009.542878958,2839287.79980469
443700,-798100,596,144.3,80.1216506958008,9682.15475498331,0.00827518798484014,775750.22126146,2774773.00689697
443700,-798340,596,143.84,85.0022430419922,9682.15475498331,0.00877926920123254,823004.871653272,2934413.43339844
443940,-798340,596,144.8,78.9356536865234,9682.15475498331,0.00815269489943816,764267.214678689,2743171.83691406
443940,-798580,596,145.93,77.5016098022461,9682.15475498331,0.00800458283961602,750382.579865678,2714354.38042603
444180,-798580,596,147.82,81.8146591186523,9682.15475498331,0.00845004662588595,792142.190812999,2902522.29862061
444420,-798580,596,149.05,81.8146591186523,9682.15475498331,0.00845004662588595,792142.190812999,2926673.98599243
